Country code,X.1,Country (standardised),Category,Column1
CAF,null,Central African Republic,Superabundant,0.1% or less
SOM,null,Somalia,Superabundant,0.1% or less
TCD,null,Chad,Superabundant,0.1% or less
SSD,null,South Sudan,Superabundant,0.1% or less
NER,null,Niger,Superabundant,0.1% or less
NAM,null,Namibia,Superabundant,0.1% or less
MDG,null,Madagascar,Superabundant,0.1% or less
ERI,null,Eritrea,Superabundant,0.1% or less
COD,null,Democratic Republic of the Congo,Superabundant,0.1% or less
MLI,null,Mali,Superabundant,0.1% or less
GNB,null,Guinea-Bissau,Superabundant,0.1% or less
MRT,null,Mauritania,Superabundant,0.1% or less
GIN,null,Guinea,Superabundant,0.1% or less
BWA,null,Botswana,Superabundant,0.1% or less
TZA,null,Tanzania,Superabundant,0.1% or less
LBR,null,Liberia,Superabundant,0.1% or less
SLE,null,Sierra Leone,Superabundant,0.1% or less
MOZ,null,Mozambique,Superabundant,0.1% or less
AGO,null,Angola,Superabundant,0.1% or less
DJI,null,Djibouti,Superabundant,0.1% or less
ETH,null,Ethiopia,Superabundant,0.1% or less
BFA,null,Burkina Faso,Superabundant,0.1% or less
ZMB,null,Zambia,Superabundant,0.1% or less
YEM,null,Yemen,Superabundant,0.1% or less
SDN,null,Sudan,Superabundant,0.1% or less
AFG,null,Afghanistan,Superabundant,0.1% or less
GAB,null,Gabon,Superabundant,0.1% or less
CMR,null,Cameroon,Superabundant,0.1% or less
COG,null,Congo,Superabundant,0.1% or less
ZWE,null,Zimbabwe,Superabundant,0.1% or less
KEN,null,Kenya,Superabundant,0.1% or less
BOL,null,Bolivia,Superabundant,0.1% or less
MNG,null,Mongolia,Superabundant,0.1% or less
GUY,null,Guyana,Superabundant,0.1% or less
SLB,null,Solomon Islands,Superabundant,0.1% or less
UGA,null,Uganda,Superabundant,0.1% or less
BDI,null,Burundi,Superabundant,0.1% or less
TGO,null,Togo,Superabundant,0.1% or less
SEN,null,Senegal,Superabundant,0.1% or less
TLS,null,Timor-Leste,Superabundant,0.1% or less
CIV,null,Ivory Coast,Superabundant,0.1% or less
VUT,null,Vanuatu,Superabundant,0.1% or less
PNG,null,Papua New Guinea,Superabundant,0.1% or less
MWI,null,Malawi,Superabundant,0.1% or less
NIC,null,Nicaragua,Superabundant,0.1% or less
LSO,null,Lesotho,Superabundant,0.1% or less
BEN,null,Benin,Superabundant,0.1% or less
GMB,null,Gambia,Superabundant,0.1% or less
KIR,null,Kiribati,Abundant,0.1% or less
BLZ,null,Belize,Abundant,0.1% or less
LBY,null,Libya,Abundant,0.1% or less
URY,null,Uruguay,Abundant,0.1% or less
GHA,null,Ghana,Abundant,0.1% or less
HTI,null,Haiti,Abundant,0.1% or less
SWZ,null,Swaziland,Abundant,0.1% or less
PER,null,Peru,Abundant,0.1% or less
HND,null,Honduras,Abundant,0.1% or less
SUR,null,Suriname,Abundant,0.1% or less
MAR,null,Morocco,Abundant,Below 1%
BRA,null,Brazil,Abundant,0.1% or less
PRY,null,Paraguay,Abundant,0.1% or less
BHS,null,Bahamas,Abundant,Below 1%
KHM,null,Cambodia,Abundant,0.1% or less
NGA,null,Nigeria,Abundant,0.1% or less
ARG,null,Argentina,Abundant,0.1% or less
AUS,null,Australia,Abundant,0.1% or less
COM,null,Comoros,Abundant,0.1% or less
RWA,null,Rwanda,Abundant,0.1% or less
GNQ,null,Equatorial Guinea,Abundant,Below 1%
FJI,null,Fiji,Abundant,Below 1%
COL,null,Colombia,Abundant,0.1% or less
CPV,null,Cape Verde,Abundant,Below 1%
DZA,null,Algeria,Abundant,0.1% or less
ZAF,null,South Africa,Abundant,Below 1%
CHL,null,Chile,Abundant,Below 1%
TUN,null,Tunisia,Abundant,Below 1%
NCL,null,New Caledonia,Abundant,Below 1%
SYR,null,Syria,Abundant,Below 1%
GTM,null,Guatemala,Abundant,Below 1%
ISL,null,Iceland,Abundant,null
MEX,null,Mexico,Abundant,Below 1%
VEN,null,Venezuela,Abundant,Below 1%
NZL,null,New Zealand,Abundant,Below 1%
SLV,null,El Salvador,Abundant,Below 1%
CUB,null,Cuba,Abundant,Below 1%
TCA,null,Turks and Caicos Islands,Abundant,Below 1%
OMN,null,Oman,Abundant,Below 1%
ECU,null,Ecuador,Abundant,Below 1%
TON,null,Tonga,Abundant,Below 1%
LAO,null,Laos,Abundant,Below 1%
FSM,null,Federated States of Micronesia,Abundant,0.1% or less
PAK,null,Pakistan,Abundant,Below 1%
CRI,null,Costa Rica,Abundant,Below 1%
